"n","muPredicted"
0,0.037508740995839
0,0.0912373182714499
0,0.00742448003236124
0,0.0227102028866677
0,0.0505221242733436
0,0.0298463099989742
0,0.0570329285044023
0,0.0375397070187071
0,0.0304760043944192
0,0.00435850458823212
0,0.14369759424278
0,0.00457248414902165
0,0.020329899058571
0,0.02452720142758
0,0.0161136490423944
0,0.00382644999986849
0,0.080074730072986
0,0.0408019954507561
1,0.111235608749436
0,0.0304760043944192
0,0.0806050262986349
0,0.0125880982017074
0,0.0336303348285463
0,0.00992170176293825
0,0.0241030204201109
0,0.0177413733764422
0,0.081294653346457
0,0.0883624817351601
0,0.0159898082483143
0,0.0393101922519685
0,0.0642693816553031
0,0.164711418514842
0,0.0283354076001175
1,0.00718521014947964
0,0.0322272980847889
0,0.0762452959957454
